ELEVATION_BAND,HOUR,N_STATIONS,NONE_N_PAIRED_HOURS,NONE_BIAS_MEDIAN_C,NONE_BIAS_Q25_C,NONE_BIAS_Q75_C,NONE_BIAS_IQR_C,NONE_MAE_MEDIAN_C,NONE_MAE_Q25_C,NONE_MAE_Q75_C,NONE_MAE_IQR_C,NONE_RMSE_MEDIAN_C,NONE_RMSE_Q25_C,NONE_RMSE_Q75_C,NONE_RMSE_IQR_C,FIXED_N_PAIRED_HOURS,FIXED_BIAS_MEDIAN_C,FIXED_BIAS_Q25_C,FIXED_BIAS_Q75_C,FIXED_BIAS_IQR_C,FIXED_MAE_MEDIAN_C,FIXED_MAE_Q25_C,FIXED_MAE_Q75_C,FIXED_MAE_IQR_C,FIXED_RMSE_MEDIAN_C,FIXED_RMSE_Q25_C,FIXED_RMSE_Q75_C,FIXED_RMSE_IQR_C
100~500m 미만,8,158,57185,-0.09790681567546367,-0.5634870813479551,0.4195751335406076,0.9830622148885627,0.9436135115747741,0.6917031447503228,1.2969792382107403,0.6052760934604176,1.2179762976025224,0.9169268601964264,1.6039529196434597,0.6870260594470332,57185,0.1130713518542712,-0.29415601274295566,0.5565380478559582,0.8506940605989138,0.8336238057302923,0.6668763421258963,1.0912246984899499,0.42434835636405355,1.118924166444426,0.8702299907299589,1.4348392876975093,0.5646092969675505
100~500m 미만,9,158,57117,-0.08599215302676053,-0.5420073319943263,0.34154968315065504,0.8835570151449813,0.8978568579379809,0.7008712606902144,1.266566369163727,0.5656951084735126,1.1293815893112518,0.9065532270220752,1.530630227674982,0.6240770006529067,57117,0.05569780821046581,-0.31837867726103664,0.44575768621519274,0.7641363634762294,0.8014423350196337,0.644203184023008,1.0394769553729744,0.39527377134996633,1.068498027223901,0.8587983779788416,1.4048171544043377,0.5460187764254961
100~500m 미만,10,158,57156,-0.19635936848159924,-0.6855080386440418,0.2939245239711275,0.9794325626151692,0.8226755374963124,0.6503028999451053,1.133002954371158,0.4827000544260527,1.0419829281977826,0.8479587715219734,1.4383963182448145,0.5904375467228411,57156,-0.03590884326625678,-0.28960401851861217,0.28754371570160586,0.577147734220218,0.7149341359554706,0.5943691217137732,0.9271512974678878,0.3327821757541146,0.9558613131514457,0.793740667853919,1.2299034411579581,0.4361627733040392
100~500m 미만,11,158,57174,-0.22215858105245007,-0.68636642409483,0.23296780265600997,0.91933422675084,0.8029408821824109,0.6155848740607263,1.1726006249698755,0.5570157509091492,0.9992601358385761,0.7931529880680105,1.4241694394492224,0.6310164513812119,57174,-0.06528615249648959,-0.2704063331834845,0.20469815280575926,0.47510448598924376,0.6747780114275734,0.5736929628716262,0.8288854608700157,0.2551924979983895,0.8732494172959627,0.7550379778615167,1.0902936304189492,0.3352556525574325
100~500m 미만,12,158,57176,-0.25504231527229554,-0.7705953779325936,0.26042024940789105,1.0310156273404847,0.78981370463481,0.6102271368344403,1.2326990563443712,0.6224719195099309,0.9686862002030889,0.7703569422755587,1.4702194787367944,0.6998625364612356,57176,-0.09028654873591777,-0.2974260540037857,0.11338997634742717,0.41081603035121284,0.6318010125817579,0.5349952676939025,0.7971335106002837,0.2621382429063812,0.8162430410609554,0.701033092024239,0.9950048980462065,0.2939718060219675
100~500m 미만,13,158,57140,-0.23104666164059567,-0.8021250647698891,0.3071807057570711,1.1093057705269602,0.8088443800489182,0.5841938401358753,1.209835886355631,0.6256420462197558,0.9763204447374958,0.7632260734592475,1.4775799787730737,0.7143539053138261,57140,-0.08996605820151049,-0.30723684279715063,0.10745111186645231,0.414687954663603,0.6168530428927358,0.5265584308501913,0.7781150773743803,0.2515566465241891,0.7840636144811355,0.68396006376478,0.976533329555668,0.29257326579088794
100~500m 미만,14,158,57178,-0.22426705618032144,-0.8792149845716721,0.33371019420127246,1.2129251787729447,0.8151847817860214,0.589456538127522,1.305830409687423,0.716373871559901,0.9830499567096158,0.759222355758232,1.5297671436853353,0.7705447879271032,57178,-0.10533577700013633,-0.3234200184948761,0.12915762753867938,0.4525776460335555,0.6050402604151764,0.5139262554217772,0.7701624221976902,0.256236166775913,0.782072360452656,0.6760325126634965,0.9787178280850265,0.30268531542153
100~500m 미만,15,158,57204,-0.22090910615002476,-0.9025149156854095,0.3684255324879482,1.2709404481733577,0.7938029689472884,0.5706667426970488,1.3683008039450888,0.79763406124804,0.9959962179279471,0.74132393846356,1.514360671287601,0.773036732824041,57204,-0.1079509622665569,-0.3385740161925156,0.157204504441606,0.4957785206341216,0.5935010824260112,0.5051064186226986,0.739880226519046,0.2347738078963474,0.7878093272669091,0.6690984055604412,0.9783107333066108,0.3092123277461696
100~500m 미만,16,158,57220,-0.20886713969242593,-0.9096680454299261,0.3775670005113662,1.2872350459412922,0.8097944784869179,0.5741857081896167,1.346601770293214,0.7724160621035974,1.0029667769110386,0.7568114883550423,1.5433849860758106,0.7865734977207683,57220,-0.08010649111050863,-0.3131159088987687,0.17926395339484352,0.49237986229361225,0.5992314506522154,0.49223551709843816,0.7369015004130128,0.24466598331457468,0.7809883250356915,0.654862583838409,0.9708216130621576,0.31595902922374863
100~500m 미만,17,158,57222,-0.1331676351223369,-0.8730220697547042,0.3876557546413999,1.260677824396104,0.828986248663932,0.5786834204017921,1.365998003485069,0.7873145830832768,1.0499010797014838,0.780249025530793,1.524535293194771,0.7442862676639781,57222,-0.04698708852461879,-0.30412998934702795,0.2283160702195459,0.5324460595665739,0.6030741509161287,0.5021589842277989,0.778836811210219,0.27667782698242005,0.7927710913216542,0.6991088592124328,0.9918078968539117,0.29269903764147887
100~500m 미만,18,158,57223,-0.13234287558883395,-0.8494669966843965,0.45997895860014065,1.3094459552845372,0.8498004644179464,0.6115734082114012,1.2789857433613543,0.6674123351499531,1.087524923336274,0.8014172850926972,1.4959329928152956,0.6945157077225984,57223,0.028564975298162328,-0.24692859903936967,0.2685441424685728,0.5154727415079424,0.6576351254833784,0.5460748023940709,0.8281009752123116,0.2820261728182407,0.8777907494076431,0.7313604870585093,1.0699303930016286,0.3385699059431193
100~500m 미만,19,158,57228,-0.09814149296788324,-0.755468495479186,0.41114320259179116,1.166611698070977,0.8850409245300626,0.6574751151853104,1.3487681567910825,0.6912930416057721,1.1370223694579984,0.839619132433614,1.569835334984114,0.7302162025505001,57228,0.08853969233270201,-0.1862399978173721,0.3934460339038284,0.5796860317212005,0.7249207153739143,0.6061342409741763,0.8639560762655804,0.257821835291404,0.9391682610162828,0.7951293981811955,1.1269210548841895,0.33179165670299393
100~500m 미만,20,158,57230,-0.08009386775184119,-0.6567703232148316,0.4672583472329869,1.1240286704478186,0.907849387919571,0.6787179113520129,1.3088642860486783,0.6301463746966655,1.1352687820435898,0.8913952443920783,1.5470235947066453,0.655628350314567,57230,0.07645553891517312,-0.23302901168539014,0.4972785540884338,0.7303075657738239,0.7553265352785823,0.6385813364174543,0.9471340884072807,0.30855275198982646,1.0034835658905097,0.8572171938160231,1.2201426559535262,0.3629254621375031
100~500m 미만,21,158,57225,-0.11309264159198974,-0.5968157561066709,0.47858243785223775,1.0753981939589088,0.9220092083889498,0.7006643965478228,1.3183637846416054,0.6176993880937827,1.1690223277526355,0.9069859287247848,1.550073850657839,0.6430879219330543,57225,0.10539226530602334,-0.22866674345987492,0.5157003862618221,0.744367129721697,0.7954807296051172,0.6543664715306907,0.9882037956709278,0.33383732414023704,1.056792748376048,0.8547851870572949,1.2777327871414788,0.42294760008418386
100~500m 미만,22,158,57244,-0.1365511677266183,-0.5820600629664636,0.5025038322627293,1.084563895229193,0.9339073299420544,0.7075675107579047,1.323040281397299,0.6154727706393943,1.205319214737352,0.9255619150759542,1.5403098890306628,0.6147479739547086,57244,0.10121619653702034,-0.25200912077344223,0.5491175190165452,0.8011266397899874,0.806487023027739,0.6599406187607811,1.0372161916651932,0.37727557290441205,1.0563809695255295,0.8697209717784462,1.3614476499858865,0.4917266782074403
